,TF,target,importance
385,CXCL1,CHIT1,0.10207422566367144
386,CTSG,CHIT1,0.9505270746774328
387,SPACA3,CHIT1,0.9792083938439412
388,CD27,CHIT1,-0.6890957592684729
389,CAMP,CHIT1,0.9786780609135268
390,LRRN3,CHIT1,-0.8793700566618149
391,IL1R1,CHIT1,0.963752745583281
392,SLC11A1,CHIT1,0.6664883576688784
393,F2RL1,CHIT1,0.6082244229739903
394,SERPING1,CHIT1,-0.7023056162493363
395,TCF7,CHIT1,-0.5044482517887056
396,HLA-DRB4,CEACAM6,-0.2742117955287657
397,HLA-DQA1,CEACAM6,-0.2837929046746161
398,HLA-DQB1,CEACAM6,-0.2278240413646893
399,IL1R2,CEACAM6,0.7956764594241155
400,IL32,CEACAM6,-0.6393586180977354
401,FCER1A,CEACAM6,-0.7910197963884814
402,IL8,CEACAM6,-0.3419539686041278
403,LTF,CEACAM6,0.9961587003958874
404,ARG1,CEACAM6,0.9305766207815882
405,EGR1,CEACAM6,0.9296124042793138
406,CHIT1,CEACAM6,0.9940377530562556
407,CEACAM6,CEACAM6,1.0
408,PTGS2,CEACAM6,-0.08281051533392234
409,PTGDR2,CEACAM6,-0.6824053730868299
410,IL3RA,CEACAM6,-0.41445975448519534
411,FLT3,CEACAM6,0.9740009813047464
412,CEACAM8,CEACAM6,0.9969024353932342
413,IDO1,CEACAM6,-0.689638599358692
414,FN1,CEACAM6,-0.031042958084169507
415,FOS,CEACAM6,0.4569621970563441
416,C3AR1,CEACAM6,-0.284360707161797
417,EGR2,CEACAM6,0.005496465559237064
418,USP9Y,CEACAM6,0.9662972659538964
419,C1QB,CEACAM6,0.4606059714225529
420,LCN2,CEACAM6,0.9898493731333076
421,CXCL1,CEACAM6,0.08297007178399843
422,CTSG,CEACAM6,0.9777105013732345
423,SPACA3,CEACAM6,0.9601150407838738
424,CD27,CEACAM6,-0.6970847899640411
425,CAMP,CEACAM6,0.9942413699528828
426,LRRN3,CEACAM6,-0.8665982104846548
427,IL1R1,CEACAM6,0.9614441866525376
428,SLC11A1,CEACAM6,0.7066448801230091
429,F2RL1,CEACAM6,0.6341454459730301
430,SERPING1,CEACAM6,-0.7549727547415007
431,TCF7,CEACAM6,-0.5291906464519557
432,HLA-DRB4,PTGS2,0.929266690211046
433,HLA-DQA1,PTGS2,-0.8743060929268598
434,HLA-DQB1,PTGS2,-0.8902867337268765
435,IL1R2,PTGS2,-0.030471241661823217
436,IL32,PTGS2,0.4969389669030597
437,FCER1A,PTGS2,0.24332539641545325
438,IL8,PTGS2,0.945177535732294
439,LTF,PTGS2,-0.13324553375218862
440,ARG1,PTGS2,-0.1085081293136166
441,EGR1,PTGS2,0.2306722781930756
